"Gem Packs (Real)","Paket Permata (Uang)","Gem Packs (Real)","宝石包（现金）"
"Bundles (Real)","Bundel (Uang)","Bundles (Real)","礼包（现金）"
"Magnet 30s","Magnet 30 dtk","Magnet 30s","磁铁30秒"
"Perisai 1 Hit","Perisai (1 Hit)","Shield 1 Hit","护盾（1次）"
"Double Coins (1 Run)","Koin Ganda (1 Sesi)","Double Coins (1 Run)","双倍金币（1局）"
"Speed Boost (1 Run)","Peningkat Kecepatan (1 Sesi)","Speed Boost (1 Run)","速度提升（1局）"
"Upgrade Nyawa Maks +1","Upgrade Nyawa Maks +1","Max Life Upgrade +1","最大生命升级+1"
"Upgrade Durasi Magnet +10%","Upgrade Durasi Magnet +10%","Magnet Duration Upgrade +10%","磁铁持续时间升级+10%"
"Upgrade Durasi Shield +10%","Upgrade Durasi Perisai +10%","Shield Duration Upgrade +10%","护盾持续时间升级+10%"
"Upgrade Durasi Double Coins +10%","Upgrade Durasi Koin Ganda +10%","Double Coins Duration Upgrade +10%","双倍金币持续时间升级+10%"
"Upgrade Multiplier Double Coins +0.25x","Upgrade Pengali Koin Ganda +0.25x","Double Coins Multiplier Upgrade +0.25x","双倍金币倍率升级+0.25x"
"Upgrade Durasi Speed Boost +10%","Upgrade Durasi Peningkat Kecepatan +10%","Speed Boost Duration Upgrade +10%","加速持续时间升级+10%"
"Skin Basic","Skin Dasar","Basic Skin","基础皮肤"
"Skin Premium","Skin Premium","Premium Skin","高级皮肤"
"Skin Neon","Skin Neon","Neon Skin","霓虹皮肤"
"Skin Shadow","Skin Bayangan","Shadow Skin","暗影皮肤"
"Small Gem Pack (100)","Paket Permata Kecil (100)","Small Gem Pack (100)","小宝石包（100）"
"Standard Gem Pack (300 +30)","Paket Permata Standar (300 +30)","Standard Gem Pack (300 +30)","标准宝石包（300+30）"
"Big Gem Pack (800 +150)","Paket Permata Besar (800 +150)","Big Gem Pack (800 +150)","大宝石包（800+150）"
"Mega Gem Pack (2000 +500)","Paket Permata Mega (2000 +500)","Mega Gem Pack (2000 +500)","超大宝石包（2000+500）"
"Starter Pack","Paket Pemula","Starter Pack","新手礼包"
"Progress Pack","Paket Progres","Progress Pack","进度礼包"
"Cosmetic Starter","Kosmetik Pemula","Cosmetic Starter","外观新手包"
"Menarik koin otomatis selama 30 detik.","Menarik koin otomatis selama 30 detik.","Automatically attracts coins for 30 seconds.","自动吸引金币30秒。"
"Melindungi dari satu kali tabrakan.","Melindungi dari satu kali tabrakan.","Protects you from one collision.","抵挡一次碰撞。"
"Mendapatkan koin 2x lipat selama satu sesi lari.","Mendapatkan koin 2x lipat selama satu sesi lari.","Earn 2x coins for one run.","一局内获得2倍金币。"
"Meningkatkan kecepatan lari dasar sebesar 50%.","Meningkatkan kecepatan lari dasar sebesar 50%.","Increases base running speed by 50%.","基础跑速提升50%。"
"Meningkatkan kapasitas nyawa maksimal secara permanen.","Meningkatkan kapasitas nyawa maksimal secara permanen.","Permanently increases maximum life capacity.","永久提升最大生命值。"
"Menambah durasi efek magnet secara permanen.","Menambah durasi efek magnet secara permanen.","Permanently increases magnet effect duration.","永久增加磁铁效果持续时间。"
"Menambah durasi perlindungan perisai secara permanen.","Menambah durasi perlindungan perisai secara permanen.","Permanently increases shield protection duration.","永久增加护盾效果持续时间。"
"Menambah durasi efek double coins secara permanen.","Menambah durasi efek double coins secara permanen.","Permanently increases double coins effect duration.","永久增加双倍金币效果持续时间。"
"Menambah multiplier gain koin saat double coins aktif.","Menambah multiplier gain koin saat double coins aktif.","Increases coin gain multiplier while double coins is active.","双倍金币生效时提高金币倍率。"
"Menambah durasi efek speed boost secara permanen.","Menambah durasi efek speed boost secara permanen.","Permanently increases speed boost effect duration.","永久增加加速效果持续时间。"
"Skin standar untuk petualang pemula.","Skin standar untuk petualang pemula.","Standard skin for new adventurers.","适合新手冒险者的标准皮肤。"
"Skin dengan detail emas yang elegan.","Skin dengan detail emas yang elegan.","Elegant skin with golden details.","带有优雅金色细节的皮肤。"
"Skin futuristik yang menyala dalam gelap.","Skin futuristik yang menyala dalam gelap.","Futuristic skin that glows in the dark.","在黑暗中发光的未来风皮肤。"
"Skin misterius yang terbuat dari bayangan.","Skin misterius yang terbuat dari bayangan.","Mysterious skin made of shadows.","由阴影构成的神秘皮肤。"
"Paket kecil gems untuk kebutuhan mendesak.","Paket kecil gems untuk kebutuhan mendesak.","Small gem pack for urgent needs.","适合紧急需求的小宝石包。"
"Paket standar dengan bonus gems 10%.","Paket standar dengan bonus gems 10%.","Standard pack with a 10% gem bonus.","标准包，附赠10%宝石。"
"Paket besar dengan bonus gems melimpah.","Paket besar dengan bonus gems melimpah.","Big pack with lots of bonus gems.","大包，赠送大量宝石。"
"Pilihan terbaik untuk kolektor sejati.","Pilihan terbaik untuk kolektor sejati.","Best choice for true collectors.","真正收藏家的最佳选择。"
"Koin, Gems, dan Power-ups untuk memulai.","Koin, Gems, dan Power-ups untuk memulai.","Coins, Gems, and Power-ups to get started.","包含金币、宝石与道具，助你起步。"
"Boost kemajuanmu dengan koin dan power-ups.","Boost kemajuanmu dengan koin dan power-ups.","Boost your progress with coins and power-ups.","用金币与道具加速进度。"
"Paket hemat koin dan gems untuk beli skin.","Paket hemat koin dan gems untuk beli skin.","Value pack of coins and gems for buying skins.","金币与宝石优惠包，用于购买皮肤。"
"Reset","Reset","Reset","重置"
"Tidak ada reward level yang pending.","Tidak ada reward level yang pending.","No pending level rewards.","没有待领取的等级奖励。"
"Tutup","Tutup","Close","关闭"
"Week","Minggu","Week","周"
"Weekly Reset","Reset Mingguan","Weekly Reset","每周重置"
"%s completed!","%s selesai!","%s completed!","%s已全部完成！"
"%s in %s","%s dalam %s","%s in %s","%s：%s 后"
"%s: Now","%s: Sekarang","%s: Now","%s：现在"
"Level %d: +%d coins","Level %d: +%d koin","Level %d: +%d coins","等级 %d: +%d 金币"
"Level %d: +%d gems","Level %d: +%d permata","Level %d: +%d gems","等级 %d: +%d 宝石"
"Total: %s","Total: %s","Total: %s","总计: %s"
"Pending rewards ready to claim.","Reward pending siap di-claim.","Pending rewards ready to claim.","有待领取的奖励。"
"No pending level rewards.","Tidak ada reward level yang pending.","No pending level rewards.","没有待领取的等级奖励。"
"SEASON_REWARDS_TITLE","HADIAH SEASON","SEASON REWARDS","赛季奖励"
"CLAIM_ALL","AMBIL SEMUA","CLAIM ALL","全部领取"
"TIME_REMAINING_HINT","SEASON SEGERA BERAKHIR","SEASON ENDS SOON","赛季即将结束"
"Kembali ke menu utama?\nRun ini akan diakhiri.","Kembali ke menu utama?\nRun ini akan diakhiri.","Return to main menu?\nThis run will end.","返回主菜单？\n本次跑酷将结束。"
"Lanjut dengan bonus?\nTonton iklan untuk lanjut run ini.","Lanjut dengan bonus?\nTonton iklan untuk lanjut run ini.","Continue with bonus?\nWatch an ad to continue this run.","使用奖励继续？\n观看广告以继续本次跑酷。"
"Ganti bahasa ke %s?","Ganti bahasa ke %s?","Change language to %s?","切换语言为%s？"
"Indonesian","Bahasa Indonesia","Indonesian","印尼语"
"Pilihan terbaik untuk collectors.","Pilihan terbaik untuk kolektor sejati.","Best choice for true collectors.","真正收藏家的最佳选择。"
"Bahasa Indonesia","Bahasa Indonesia","Indonesian","印尼语"
"中文","Chinese","Chinese","中文"
"Ad not available.","Iklan tidak tersedia.","Ad not available.","广告不可用。"
"Daily coins claimed: +%d","Koin harian diklaim: +%d","Daily coins claimed: +%d","已领取每日金币：+%d"
"Equip","Gunakan","Equip","装备"
"Equipped","Digunakan","Equipped","已装备"
"Select","Pilih","Select","选择"
"Selected","Dipilih","Selected","已选择"
"Skill Progress","Progres Skill","Skill Progress","技能进度"
"Base","Dasar","Base","基础"
"Current","Saat Ini","Current","当前"
"Next","Berikutnya","Next","下一项"
"MAX","MAKS","MAX","最大"
"Lv","Lv","Lv","等级"
"Skill Tokens","Token Skill","Skill Tokens","技能库存"
"Magnet Tokens","Token Magnet","Magnet Tokens","磁铁库存"
"Shield Charges","Charge Shield","Shield Charges","护盾充能"
"Double Coins Tokens","Token Double Coins","Double Coins Tokens","双倍金币库存"
"Speed Boost Tokens","Token Speed Boost","Speed Boost Tokens","加速库存"
"Magnet Duration","Durasi Magnet","Magnet Duration","磁铁时长"
"Shield Duration","Durasi Shield","Shield Duration","护盾时长"
"Double Coins Duration","Durasi Double Coins","Double Coins Duration","双倍金币时长"
"Double Coins Multiplier","Multiplier Double Coins","Double Coins Multiplier","双倍金币倍率"
"Speed Boost Duration","Durasi Speed Boost","Speed Boost Duration","加速时长"
"Speed Boost Multiplier","Multiplier Speed Boost","Speed Boost Multiplier","加速倍率"
"Max Heart","Nyawa Maks","Max Heart","最大生命"
"Pickup Range","Jangkauan Pickup","Pickup Range","拾取范围"
"Permanent upgrades and token stock","Upgrade permanen dan stok token","Permanent upgrades and token stock","永久升级与道具库存"
"Duration","Durasi","Duration","时长"
"Gain","Gain","Gain","增益"
"Boost","Boost","Boost","强化"
"Survive","Bertahan","Survive","生存"
"Utility","Utilitas","Utility","功能"
"Skill","Skill","Skill","技能"
